seed edbe610dfd4e71aa
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.767366 0.365403 0.005192
2.782506 0.343918 0.004546
2.799031 0.339576 0.005471
2.818451 0.326762 0.005001
2.833084 0.317922 0.006460
2.849291 0.362900 0.006020
2.865815 0.375768 0.006046
2.882877 0.332585 0.003511
2.899157 0.296199 0.004083
2.916040 0.312197 0.006789
2.932780 0.313616 0.005574
2.949410 0.355930 0.006412
2.967496 0.337218 0.004386
2.982986 0.335256 0.005364
2.999691 0.329902 0.005898
3.015894 0.336476 0.005970
3.032780 0.331000 0.005272
3.049149 0.326137 0.004983
3.066065 0.326043 0.005455
3.082404 0.339699 0.005807
3.099441 0.332679 0.005778
3.115798 0.299670 0.003853
3.132654 0.323119 0.006932
3.149447 0.319941 0.004961
3.166009 0.331403 0.006203
3.182807 0.321878 0.005077
3.199328 0.360598 0.006165
3.215783 0.355626 0.005314
3.236812 0.341777 0.005053
3.249131 0.330189 0.005043
3.266488 0.337770 0.006056
3.282358 0.324003 0.005016
3.302783 0.307782 0.004941
3.315711 0.329792 0.006237
3.335694 0.332042 0.005712
3.348888 0.298976 0.003683
3.367690 0.327375 0.006715
3.382582 0.329605 0.005667
3.398887 0.332628 0.005299
3.415786 0.350889 0.006322
3.432393 0.337374 0.005089
3.452837 0.343991 0.005603
3.467915 0.310513 0.004182
3.483342 0.338673 0.006917
3.498975 0.317680 0.004648
3.516356 0.317605 0.006483
3.532416 0.333692 0.006520
3.550144 0.334483 0.004882
3.565402 0.335996 0.006286
3.582310 0.335996 0.000000
3.598922 0.342260 0.010181
3.615534 0.312279 0.005391
3.632416 0.381768 0.006860
3.649046 0.419565 0.006556
3.665681 0.383649 0.004409
3.682112 0.367844 0.004805
3.698959 0.391901 0.007092
3.715388 0.357328 0.004563
3.731964 0.340208 0.005395
3.749064 0.356655 0.006587
3.765524 0.317840 0.004045
3.782025 0.332159 0.006849
3.798966 0.309222 0.004389
