seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.568825 0.378018 0.007646
1.582994 0.338546 0.003794
1.599571 0.348738 0.006475
1.616298 0.336426 0.005183
1.632893 0.308573 0.004331
1.649527 0.317257 0.006182
1.666257 0.347071 0.007094
1.682922 0.313694 0.004045
1.699573 0.324406 0.005544
1.716386 0.291555 0.004233
1.733041 0.338091 0.006437
1.749509 0.331597 0.004764
1.766337 0.342471 0.005840
1.783789 0.346958 0.005575
1.799508 0.345435 0.005474
1.817560 0.341746 0.005447
1.832788 0.310640 0.004019
1.852642 0.312455 0.005704
1.866340 0.337244 0.006791
1.882778 0.310870 0.004179
1.899447 0.318295 0.005899
1.916056 0.353308 0.007212
1.932836 0.324656 0.004362
1.949366 0.310965 0.004175
1.965976 0.318683 0.005838
1.982871 0.364672 0.007772
1.999562 0.336004 0.003971
2.016055 0.353047 0.006487
2.033100 0.321854 0.003969
2.049429 0.328534 0.006025
2.068412 0.353032 0.006835
2.082647 0.324337 0.004072
2.102050 0.319149 0.005419
2.116050 0.312788 0.005206
2.132729 0.310259 0.005560
2.149381 0.343764 0.007214
2.166099 0.323482 0.004410
2.182686 0.330481 0.005766
2.199424 0.308506 0.004307
2.216033 0.313699 0.005745
2.232615 0.302544 0.005508
2.249363 0.368602 0.008798
2.266918 0.285475 0.000963
2.282663 0.299722 0.006162
2.299253 0.307462 0.005949
2.317034 0.305621 0.004989
2.332553 0.328738 0.006435
2.351788 0.317125 0.004548
2.366072 0.320007 0.004966
2.383675 0.326388 0.006148
2.399173 0.335735 0.005832
2.416962 0.351476 0.006228
2.432473 0.323172 0.003998
2.449227 0.324713 0.005712
2.466605 0.366276 0.007635
2.483687 0.317194 0.002964
2.499131 0.290099 0.004212
2.516152 0.301284 0.006153
2.532529 0.311911 0.005922
