seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
4.698453 0.124938 0.001560
4.715215 0.125332 0.002111
4.731987 0.144783 0.003743
4.748882 0.142329 0.001660
4.765431 0.138844 0.001962
4.782012 0.131342 0.002093
4.798450 0.131476 0.002446
4.815238 0.131492 0.002457
4.831817 0.134857 0.002516
4.848533 0.125876 0.001534
4.865051 0.128242 0.002540
4.881982 0.115926 0.001389
4.898515 0.106759 0.001663
4.915204 0.118765 0.003306
4.931910 0.109585 0.001154
4.948592 0.116385 0.002623
4.965089 0.121692 0.002247
4.981989 0.122752 0.001879
4.998529 0.126323 0.002164
5.015289 0.131891 0.002414
Speed: 20
0.016615 0.020838 0.000900
0.033494 0.015922 0.000649
0.050044 0.011577 0.001771
0.066735 0.004233 0.001792
0.083419 0.008720 0.000448
0.100053 0.015221 0.001644
0.116693 0.002978 0.001548
0.133496 0.054635 0.004792
0.150008 0.137592 0.004847
0.166790 0.207282 0.003400
0.183315 0.282549 0.004763
0.200146 0.329935 0.003520
0.216660 0.379348 0.005288
0.233352 0.423292 0.006008
0.250017 0.440578 0.005060
0.266749 0.418796 0.003448
0.283273 0.399066 0.005147
0.300052 0.400588 0.007210
0.316668 0.347996 0.002878
0.333365 0.351670 0.008006
0.349996 0.299347 0.003586
0.366695 0.340494 0.007220
0.383290 0.351285 0.005533
0.399973 0.326026 0.003162
0.416580 0.348742 0.007448
0.433349 0.344719 0.005275
0.449933 0.351647 0.006019
0.466734 0.337323 0.004564
0.483239 0.341803 0.006263
0.499932 0.330737 0.004990
0.516572 0.323316 0.005266
0.533274 0.332611 0.006594
0.549870 0.346290 0.006464
0.566631 0.374916 0.007478
0.583264 0.354178 0.003439
0.599871 0.347816 0.005588
0.616488 0.332575 0.004797
0.633215 0.327872 0.006190
0.649851 0.334187 0.006236
0.666480 0.333522 0.005630
0.683144 0.355776 0.007247
0.699814 0.346843 0.004509
0.716409 0.348705 0.005820
0.733244 0.343354 0.005401
0.749860 0.338391 0.005488
0.766529 0.353860 0.007024
0.783230 0.353990 0.005499
0.799908 0.348046 0.005203
0.816449 0.335165 0.004914
0.833116 0.347227 0.007027
0.849840 0.336903 0.004830
0.866543 0.351721 0.007163
0.883047 0.356954 0.005897
0.899866 0.346089 0.004717
0.916458 0.330101 0.004863
0.933101 0.326860 0.005900
0.949816 0.336974 0.006671
0.966510 0.332725 0.005237
0.983078 0.368497 0.008251
0.999880 0.369542 0.005031
1.016424 0.367030 0.005319
1.032810 0.361750 0.005602
1.049507 0.347507 0.005053
1.069897 0.336999 0.005561
1.082822 0.338385 0.006418
1.101746 0.339043 0.005901
1.117484 0.334313 0.006159
1.133042 0.318563 0.004159
1.149415 0.312045 0.005711
1.166200 0.317327 0.005851
1.185421 0.324524 0.005953
1.199507 0.343210 0.006556
1.216240 0.351501 0.005845
1.232861 0.352421 0.005375
1.249429 0.341699 0.004704
1.266073 0.340356 0.005448
1.282811 0.334585 0.005476
1.299461 0.339708 0.006184
1.316039 0.333400 0.005131
1.332839 0.323939 0.005022
1.353330 0.346698 0.007587
1.365977 0.342244 0.004836
1.383184 0.369339 0.007747
1.399380 0.343964 0.003255
1.416393 0.329550 0.004989
1.432608 0.340815 0.007083
1.449782 0.325245 0.004658
1.470894 0.321849 0.005829
1.484989 0.330688 0.006443
1.499557 0.336601 0.006064
1.516182 0.333092 0.004978
1.532873 0.309569 0.003768
1.549574 0.313991 0.006286
