seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.765884 0.474546 0.015974
3.799286 0.477011 0.014119
3.832630 0.366794 0.012447
3.865927 0.349805 0.012540
3.899271 0.674273 0.022654
3.934227 0.400464 0.007970
3.968204 0.219335 0.011855
3.999106 0.317911 0.012367
4.032433 0.504356 0.015045
4.065682 0.569439 0.015751
4.099146 0.433385 0.013418
4.134210 0.288025 0.012551
4.165722 0.411731 0.014985
4.205685 0.472323 0.015769
4.233026 0.519842 0.013661
4.265786 0.385595 0.011712
4.300609 0.342785 0.014369
4.332460 0.390441 0.013020
4.365735 0.424235 0.013296
4.399070 0.431399 0.013791
4.432415 0.393696 0.013013
4.465723 0.393696 0.000000
4.498956 0.381768 0.027923
4.532569 0.453554 0.015345
4.565621 0.474313 0.014492
4.598902 0.478307 0.015599
4.632492 0.401558 0.013349
4.665859 0.357653 0.013255
4.698917 0.357653 0.000000
4.738999 0.308652 0.025397
4.778317 0.321212 0.013241
4.798969 0.692806 0.014199
4.834033 0.786129 0.016502
4.865515 0.403481 0.011390
4.898994 0.084660 0.009128
4.932346 0.248542 0.013861
4.965655 0.570161 0.015965
4.998949 0.636857 0.015850
5.032232 0.441755 0.013589

Speed: 40
0.033334 0.037423 0.001120
0.066570 0.006879 0.000616
0.099888 0.025365 0.000263
0.133237 0.000370 0.000375
0.166704 0.146440 0.005303
0.199897 0.321591 0.008294
0.233149 0.478949 0.013018
0.266565 0.524220 0.014879
0.299869 0.519611 0.016558
0.333320 0.542390 0.018214
0.366528 0.525560 0.017096
0.399927 0.457541 0.015578
0.433161 0.519971 0.018401
0.466579 0.613887 0.019465
0.500070 0.575492 0.017697
0.533197 0.556121 0.019049
0.566488 0.587685 0.019896
0.599840 0.573011 0.018581
0.633279 0.581979 0.019707
0.666478 0.555633 0.018299
0.699812 0.551978 0.018838
0.733187 0.581553 0.019472
0.766443 0.555677 0.017998
0.799943 0.535684 0.018404
0.833092 0.592181 0.019945
0.866344 0.574092 0.018147
0.899735 0.520773 0.017689
0.933114 0.563952 0.019705
0.966640 0.612340 0.019800
0.999729 0.563011 0.017838
1.033236 0.522289 0.018298
1.066422 0.538827 0.018526
1.099792 0.564941 0.018594
1.133093 0.624172 0.020291
1.166346 0.573865 0.018106
1.199659 0.566774 0.019691
1.233013 0.599954 0.020107
1.266304 0.606975 0.019657
1.303905 0.507099 0.018930
1.333172 0.595622 0.018557
1.366599 0.638894 0.019701
1.399749 0.607957 0.019452
1.432994 0.545975 0.018644
1.466352 0.517151 0.018284
1.507197 0.468986 0.019872
1.539314 0.592782 0.019624
1.566536 0.754761 0.019159
1.599653 0.732232 0.020870
1.640603 0.452926 0.019124
1.666389 0.595146 0.017603
1.699640 0.745311 0.021639
1.733059 0.661535 0.019650
1.766415 0.531562 0.019059
1.800032 0.473315 0.018071
1.833059 0.575387 0.020004
1.866371 0.663632 0.020332
1.899590 0.650910 0.020167
1.939518 0.494472 0.019955
1.966363 0.634238 0.018459
1.999976 0.726176 0.021410
2.033191 0.608709 0.018725
2.066575 0.525467 0.019482
2.099770 0.555933 0.019825
2.133181 0.630204 0.020544
2.166321 0.650490 0.020321
2.199632 0.627404 0.020555
