seed 92ba159995c2e676
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.366257 0.321674 0.004850
1.382980 0.325246 0.006229
1.399532 0.338397 0.006385
1.416330 0.322839 0.004358
1.432886 0.296827 0.004115
1.449537 0.287484 0.006205
1.466156 0.312120 0.005939
1.482866 0.308215 0.004919
1.499552 0.344670 0.006083
1.516231 0.330927 0.003513
1.532929 0.343918 0.006340
1.549547 0.356325 0.006020
1.566181 0.344690 0.004642
1.582936 0.329681 0.004997
1.599696 0.326721 0.005884
1.616192 0.327674 0.005828
1.632912 0.336533 0.006085
1.649545 0.322542 0.004510
1.666176 0.346436 0.007104
1.682751 0.318712 0.003554
1.699641 0.307155 0.005533
1.716148 0.335375 0.006981
1.732735 0.345659 0.006181
1.749381 0.325986 0.003491
1.766300 0.294764 0.004928
1.782985 0.303500 0.005192
1.799461 0.326322 0.006604
1.819383 0.329694 0.004940
1.835273 0.313484 0.004188
1.849568 0.318036 0.005878
1.866288 0.340823 0.006659
1.882895 0.355889 0.005975
1.899495 0.348197 0.004669
1.916322 0.323853 0.004242
1.932614 0.297832 0.004703
1.949333 0.304170 0.006644
1.967323 0.330679 0.006885
1.982812 0.330829 0.004924
1.999430 0.323549 0.004678
2.016205 0.326610 0.005738
2.032570 0.328931 0.005457
2.049586 0.330943 0.005482
2.070099 0.306020 0.003901
2.083050 0.305767 0.005869
2.099234 0.302989 0.005294
2.115881 0.321012 0.006271
2.132658 0.316850 0.004733
2.149244 0.310464 0.004893
2.165829 0.325704 0.006127
2.182625 0.325729 0.004998
2.199498 0.342278 0.006254
2.215829 0.334055 0.004602
2.232634 0.305700 0.004297
2.249259 0.315443 0.005939
2.265997 0.308937 0.005691
2.282476 0.337683 0.005672
2.299687 0.347726 0.005211
2.315849 0.340064 0.004576
2.334282 0.340839 0.005934
2.349185 0.345203 0.006431
2.365833 0.317626 0.003706
2.382405 0.315356 0.005795
2.403879 0.309294 0.005462
2.420275 0.312000 0.005608
2.433885 0.301477 0.004685
2.449264 0.287233 0.004478
2.467073 0.312041 0.006833
2.484764 0.308143 0.004492
2.499237 0.336728 0.006780
2.515998 0.334025 0.004471
2.532650 0.337424 0.005596
2.549268 0.336539 0.005296
2.565826 0.331966 0.005308
2.582457 0.330306 0.005551
2.599127 0.332356 0.005722
2.615779 0.323295 0.004962
2.632480 0.290043 0.003665
2.649070 0.293943 0.006452
2.665848 0.285549 0.004611
2.682406 0.310488 0.006709
2.699192 0.326548 0.005530
2.715734 0.348403 0.005963
2.732607 0.334221 0.004072
2.749110 0.333705 0.005518
2.765856 0.365175 0.007582
2.782492 0.349099 0.004072
2.799240 0.345924 0.005904
2.815709 0.341398 0.005528
2.832620 0.314959 0.004363
2.849045 0.319397 0.006558
2.865706 0.297563 0.004317
2.882339 0.275510 0.004817
2.899068 0.294792 0.006015
2.915648 0.297227 0.004684
2.932332 0.309727 0.005549
2.949008 0.323929 0.005493
2.965657 0.337612 0.005625
2.982278 0.339337 0.005046
2.999074 0.334034 0.005054
3.015596 0.319033 0.004684
3.032286 0.323606 0.006095
3.049113 0.305031 0.005025
3.065699 0.305031 0.000000
3.085337 0.302171 0.010741
3.099158 0.302282 0.005276
3.115647 0.313292 0.005888
3.132374 0.327973 0.005823
3.148978 0.341745 0.005720
3.165712 0.318619 0.003588
3.182372 0.324079 0.006177
3.198967 0.342299 0.006535
3.215723 0.326597 0.004300
3.232329 0.309857 0.004721
3.248977 0.330707 0.007137
3.265691 0.330707 0.000000
3.282339 0.325500 0.008753
3.298951 0.343430 0.006536
3.315595 0.334318 0.004481
3.332345 0.351196 0.006716
3.348952 0.340046 0.004679
3.365552 0.349761 0.006418
3.382373 0.327716 0.004381
3.398960 0.339962 0.006770
3.415626 0.358752 0.006668
3.432304 0.330846 0.003639
3.448982 0.302215 0.004392
3.465568 0.291720 0.005506
3.482315 0.303105 0.006437
