seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
3.663496 0.222243 0.003263
3.680258 0.167428 0.002110
3.696813 0.096847 0.001979
3.713466 0.060201 0.001373
3.730488 0.026739 0.000587
3.746864 0.259412 0.003373
3.763498 0.313815 0.002016
3.780278 0.019387 0.000428
3.797178 0.054859 0.002416
3.813541 0.114597 0.002273
3.832022 0.252043 0.002803
3.847276 0.147347 0.001436
3.866213 0.088957 0.002333
3.880610 0.036672 0.000893
3.896838 0.087897 0.002086
3.913485 0.267776 0.003811
3.930136 0.238652 0.002534
3.946877 0.118705 0.002042
3.963478 0.043226 0.000408
3.980120 0.098075 0.002769
3.996860 0.214790 0.002472
4.013513 0.260133 0.003308
4.030094 0.150406 0.002108
4.046853 0.079078 0.002224
4.063643 0.017820 0.000328
4.080639 0.114374 0.002583
4.096699 0.143969 0.001584
4.116270 0.201478 0.002840
4.130401 0.223029 0.003320
4.149580 0.106246 0.001407
4.163448 0.099521 0.002606
4.180101 0.064216 0.001124
4.196699 0.069119 0.001534
4.213487 0.107445 0.001805
4.230075 0.156737 0.002312
4.246699 0.236780 0.003509
4.263464 0.150104 0.002000
4.280103 0.080226 0.000694
4.296650 0.048627 0.002310
4.313325 0.214554 0.002915
4.330134 0.348649 0.003244
4.346699 0.149296 0.001372
4.364576 0.034414 0.002185
4.380070 0.007378 0.001056
4.399451 0.054840 0.000989
4.413575 0.214353 0.003491
4.432737 0.179593 0.001566
4.446665 0.139935 0.002457
4.463354 0.115006 0.002247
4.480082 0.090811 0.001671
4.496666 0.130659 0.001824
4.513311 0.121862 0.002229
4.529934 0.160401 0.002122
4.546897 0.129048 0.002010
4.563281 0.151511 0.002004
4.579880 0.163743 0.002751
4.596667 0.129742 0.001765
4.614058 0.073887 0.002090
4.629910 0.075646 0.001465
4.648874 0.153276 0.002970
4.663313 0.146667 0.001346
4.682749 0.142013 0.002394
4.696513 0.116476 0.001928
4.713277 0.178674 0.003238
4.730246 0.114610 0.001459
4.746542 0.043599 0.001170
4.763241 0.106234 0.002547
4.779879 0.217572 0.002937
4.796546 0.177395 0.002127
4.813333 0.092111 0.002022
4.829892 0.058374 0.000992
4.846563 0.089804 0.002468
4.863814 0.258440 0.003152
4.880130 0.196297 0.001452
4.897756 0.057243 0.001210
4.913383 0.079484 0.002317
4.932914 0.111041 0.001759
4.946546 0.120695 0.001439
4.965951 0.171714 0.002808
4.979852 0.150530 0.002073
4.996737 0.113196 0.002072
5.013165 0.184532 0.003120
Speed: 20
